행정동코드,행정동명,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
11170510,후암동,12378.6,468.8,259.1,350.4,221.7,428.3,499.4,634.9,535.1,543.2,450.6,437.1,373.8,254.0,491.5,390.6,206.4,211.4,377.5,488.1,559.6,669.8,519.3,556.6,434.5,457.6,391.6,334.2,833.3
11170520,용산2가동,12202.5,347.4,186.8,325.0,363.0,550.2,574.8,667.7,557.7,557.7,418.7,365.5,217.3,196.7,437.3,312.0,176.3,360.8,527.9,661.8,648.9,674.1,497.3,526.5,374.9,320.0,308.2,250.8,797.1
11170530,남영동,16799.6,239.8,115.7,266.2,546.1,763.9,875.4,967.5,831.4,824.0,760.1,714.2,549.0,328.2,627.1,233.7,106.4,335.2,831.9,1043.6,937.6,886.3,696.3,720.3,560.3,574.5,434.1,301.6,729.1
11170555,청파동,23001.8,373.1,268.6,506.0,607.4,888.6,1019.1,1074.3,825.3,859.9,813.9,714.6,521.6,359.5,684.9,365.3,198.0,1055.2,2749.7,1574.2,1190.1,1112.8,820.3,847.4,702.8,736.9,608.6,403.1,1120.6
11170560,원효로1동,18379.9,629.1,201.0,295.1,357.8,640.6,899.2,1094.9,971.8,901.2,727.8,673.8,437.9,261.0,561.2,665.4,197.0,282.2,738.8,1007.2,1108.6,1284.7,918.1,758.9,671.5,565.7,497.3,297.1,735.0
11170570,원효로2동,14069.8,427.2,191.0,243.0,263.4,474.5,588.9,641.5,654.8,708.1,529.8,570.4,421.5,258.9,572.7,333.1,266.6,338.4,472.6,598.7,698.2,766.2,642.8,565.3,501.2,587.6,476.2,334.2,942.8
11170580,효창동,10430.7,299.9,177.1,197.3,218.2,361.8,423.9,506.9,398.3,432.8,344.6,334.3,259.1,171.9,397.3,384.0,181.2,264.2,548.9,511.8,525.4,577.0,467.3,474.5,385.9,398.0,302.5,239.1,647.3
11170590,용문동,7090.6,207.1,93.6,135.4,137.3,221.6,277.5,326.1,290.9,292.2,268.1,284.2,207.6,163.3,302.7,212.7,93.7,133.7,210.8,282.6,342.4,406.3,286.4,284.6,276.4,323.3,269.5,210.8,549.8
11170625,한강로동,53257.9,1291.4,544.9,1172.7,2793.6,2470.4,2631.0,3042.8,2788.5,2536.7,1914.4,1713.8,1128.9,661.7,1323.1,1400.8,521.4,961.9,2574.3,3322.9,3151.1,3301.5,2494.3,2169.2,1772.3,1644.9,1220.9,819.5,1889.0
11170630,이촌1동,25351.5,1451.6,779.6,656.7,520.2,549.5,539.7,858.4,1027.1,1148.1,967.2,998.0,688.7,464.1,1106.5,1278.8,660.6,594.8,639.7,653.4,711.9,1124.1,1256.7,1285.1,1132.6,1047.7,860.2,604.3,1746.6
11170640,이촌2동,7755.9,273.5,95.6,142.5,212.3,240.6,269.1,417.2,409.0,351.5,304.8,336.3,256.0,176.4,344.1,165.0,75.0,138.0,278.5,268.5,317.6,384.2,326.2,313.0,274.2,289.7,274.8,216.9,605.5
11170650,이태원1동,11372.3,140.8,75.4,186.6,626.3,808.6,767.2,822.8,551.2,629.2,418.7,369.2,247.4,140.3,327.7,159.4,70.8,196.3,639.9,758.7,597.4,540.6,428.6,401.8,295.8,309.8,226.7,166.9,468.2
11170660,이태원2동,10932.3,255.6,115.9,207.7,283.9,435.3,494.8,633.3,665.4,580.3,434.2,332.2,229.4,166.0,384.4,277.3,136.6,192.7,373.6,538.0,598.2,691.6,576.5,568.6,399.0,346.9,275.1,212.6,527.2
11170685,한남동,28331.3,863.4,370.6,393.4,846.7,1161.9,1258.9,1516.6,1456.4,1497.2,1177.4,1036.2,676.0,393.3,727.0,680.4,304.4,446.8,1199.1,1538.5,1540.3,1832.8,1666.0,1364.1,1040.0,941.9,703.1,493.4,1205.3
11170690,서빙고동,15285.0,589.5,425.1,423.9,380.3,417.4,445.6,586.1,740.2,778.6,662.9,664.6,473.1,301.6,632.3,536.9,343.0,358.6,442.0,459.4,476.6,639.7,731.4,801.0,616.5,611.1,478.0,335.1,934.2
11170700,보광동,6645.7,173.1,117.5,255.9,190.3,229.0,231.5,301.6,294.7,357.0,310.0,307.3,231.8,144.6,284.2,110.3,70.4,107.8,177.5,205.9,232.7,256.4,326.8,334.7,282.2,255.7,253.2,167.1,436.2
